"Timestamp","Have you ever worked remotely (Please exit if No)","Age:","Gender:","Job Role:","Industry:","Years of Experience in Current Role: ","Work Location:","Hours Worked Per Week","Number of Virtual Meetings Per Week:","Work Life Balance Rating with One being the lowest(Poor balance) and five the highest ( well balanced):","What is your stress level while working remotely?","How would you describe your overall mental health condition while working remotely:","Do you have access to mental health resources:","Rate your Productivity Change working Remotely:","Rate your Social Isolation while working remotely with One being the lowest(very Isolated) and five being the highest (not Isolated): ","Rate your satisfaction with working Remotely:","Rate your Company support while working remotely with One being the lowest(not supported) and five being  the highest(well supported):","Rate your sleep quality While working remotely:","Region:"
"2025/01/14 5:33:17 PM EST","Yes","30 - 39","Female","Marketing","Education","1-3 years","Onsite","40-49","10-19","Four","Medium","Anxiety","No","Decrease","Four","Neutral","Three","Poor","North America"
"2025/01/14 6:15:09 PM EST","Yes","20 - 29","Female","Designer","Manufacturing","7-10 years","Onsite","50-59","30-39","Five","Low","Depression","Yes","Decrease","Three","Neutral","Three","Average","Asia"
"2025/01/14 6:17:56 PM EST","Yes","40 - 49","Male","Project Manager","Retail","More than 10 years","Hybrid","50-59","30-39","Four","High","None","No","Increase","Five","Satisfied","Four","Good","Oceania"
"2025/01/14 6:19:13 PM EST","Yes","40 - 49","Non - binary","Marketing","Finance","4-6 years","Onsite","30-39","30-39","Three","Medium","None","No","Decrease","Three","Satisfied","Three","Poor","North America"
"2025/01/14 6:21:33 PM EST","Yes","60 - and above","Non - binary","Marketing","Health Care","More than 10 years","Remote","50-59","40 and above","Four","High","None","No","Decrease","Four","Neutral","Four","Poor","South America"
"2025/01/14 7:24:20 PM EST","Yes","60 - and above","Prefer not to say","Software Engineer","IT","7-10 years","Remote","60 and above","20-29","Three","High","None","No","No Change","Three","Unsatisfied","Four","Average","Oceania"
"2025/01/14 7:25:10 PM EST","Yes","30 - 39","Female","Sales","Health Care","4-6 years","Onsite","40-49","20-29","Three","Medium","Anxiety","Yes","Decrease","Three","Satisfied","One","Good","Europe"
"2025/01/14 7:26:02 PM EST","Yes","20 - 29","Female","Data Scientist","Finance","4-6 years","Remote","20-29","40 and above","Two","High","Burnout","No","Decrease","Four","Satisfied","Two","Average","North America"
"2025/01/14 7:30:19 PM EST","Yes","30 - 39","Prefer not to say","Sales","Manufacturing","More than 10 years","Remote","50-59","30-39","Three","Low","Anxiety","No","No Change","Four","Neutral","Three","Poor","Europe"
"2025/01/14 7:31:03 PM EST","Yes","40 - 49","Non - binary","Project Manager","Health Care","1-3 years","Onsite","20-29","40 and above","Four","Medium","Burnout","No","Decrease","Three","Neutral","Three","Average","North America"
"2025/01/14 7:31:44 PM EST","Yes","20 - 29","Female","Software Engineer","IT","1-3 years","Onsite","30-39","20-29","Three","Low","Depression","Yes","Decrease","Three","Neutral","Two","Average","North America"
"2025/01/14 7:32:29 PM EST","Yes","30 - 39","Female","Marketing","Finance","1-3 years","Onsite","50-59","30-39","Two","Medium","Burnout","No","Decrease","Two","Satisfied","Four","Average","North America"
"2025/01/14 7:33:05 PM EST","Yes","50  - 59","Male","Designer","IT","4-6 years","Onsite","50-59","20-29","Three","Medium","Burnout","No","Decrease","Four","Neutral","Two","Average","Asia"
"2025/01/14 7:34:38 PM EST","Yes","30 - 39","Male","Marketing","Health Care","7-10 years","Onsite","40-49","20-29","Three","Medium","Burnout","Yes","Decrease","Three","Unsatisfied","Five","Poor","North America"
"2025/01/14 7:35:27 PM EST","Yes","20 - 29","Female","HR","Retail","7-10 years","Onsite","40-49","10-19","Two","Low","Anxiety","No","Decrease","Three","Neutral","Three","Average","Europe"
"2025/01/15 7:47:36 AM EST","Yes","Under 20","Non - binary","Sales","Retail","4-6 years","Onsite","50-59","20-29","Four","Low","Anxiety","No","Decrease","Two","Neutral","Three","Average","North America"
"2025/01/15 7:48:06 AM EST","Yes","30 - 39","Non - binary","Marketing","Manufacturing","7-10 years","Remote","50-59","30-39","Three","","Anxiety","No","No Change","Three","Neutral","Three","Average","Oceania"
"2025/01/15 7:48:44 AM EST","Yes","40 - 49","Female","Project Manager","IT","More than 10 years","Hybrid","20-29","0-9","One","Low","Depression","Yes","Increase","Three","Satisfied","One","Good","North America"
"2025/01/15 7:50:08 AM EST","Yes","40 - 49","Male","Project Manager","Retail","7-10 years","Remote","50-59","30-39","Four","Low","Depression","No","Increase","Five","Unsatisfied","Four","Average","South America"
"2025/01/15 6:33:52 PM EST","Yes","40 - 49","Female","Marketing","Retail","7-10 years","Remote","60 and above","20-29","Three","Medium","Burnout","No","No Change","Four","Neutral","Three","Average","North America"
"2025/01/15 6:34:51 PM EST","Yes","30 - 39","Prefer not to say","Sales","Manufacturing","Less than 1 year","Hybrid","30-39","20-29","Four","Low","Burnout","No","Increase","One","Satisfied","One","Good","North America"
"2025/01/15 6:35:37 PM EST","Yes","Under 20","Male","Data Scientist","IT","1-3 years","Remote","30-39","10-19","Two","High","Burnout","No","Decrease","Four","Satisfied","One","Good","Oceania"
"2025/01/15 6:36:41 PM EST","Yes","60 - and above","Male","HR","Health Care","7-10 years","Remote","40-49","20-29","Four","High","None","No","No Change","Five","Unsatisfied","Three","Average","Europe"
"2025/01/15 6:37:38 PM EST","Yes","30 - 39","Male","Designer","IT","4-6 years","Onsite","40-49","20-29","Two","Low","Anxiety","No","Decrease","Three","Unsatisfied","Four","Poor","North America"
"2025/01/15 6:38:36 PM EST","Yes","50  - 59","Female","Marketing","Retail","4-6 years","Hybrid","30-39","20-29","One","Medium","Anxiety","No","Decrease","Three","Neutral","Two","Good","Oceania"
"2025/01/15 6:39:18 PM EST","Yes","Under 20","Female","Project Manager","IT","4-6 years","Onsite","40-49","20-29","Three","Medium","Anxiety","No","No Change","Two","Neutral","Two","Average","North America"
"2025/01/16 2:40:07 AM EST","Yes","30 - 39","Male","Product Manager","IT","7-10 years","Remote","40-49","0-9","Five","Low","None","Yes","Increase","Three","Satisfied","Four","Good","Africa"
